cus_id,money_1,money_2,investment
1017017,2192.27,522,eligible
761507,88710.12,88494.29,investing
628526,2.37,2.28,investing
193237,0,0,eligible
513134,350,0,eligible
819405,0,0,eligible
637358,0,,eligible
953563,0,0,eligible
403162,4080.93,3957.56,investing
1083942,0,0,eligible
537951,0,0,eligible
200384,8446.65,7109.57,investing
953711,0,0,eligible
890929,1527,1000,pending
645505,25,25,warmup
837630,0,0,non_eligible
702420,18.4,0,pending
1027361,0,0,eligible
863031,648.8,648.8,warmup
887758,0,0,warmup
684286,2100,0,warmup
210830,21.35,1800.16,investing
1245448,0,0,pending
650253,0,0,pending
1061120,382.36,1488.99,eligible
927019,0,0,eligible
1155476,601.73,0,investing
1034581,0,0,eligible
548661,1950,600,warmup
1144995,17849.53,7014.84,pending
1014435,0,1.8,eligible
963721,3408.3,2716.65,eligible
1082453,0,0,eligible
958865,8.77,1841.06,investing
1150343,0,0,pending
770789,0,0,eligible
689919,241617.46,410135.43,pending
698073,0,0,eligible
1147896,0,0,eligible
873701,0,0,warmup
193197,0,2000,warmup
870841,0,0,eligible
754222,0,0,pending
1170769,0,,non_eligible
1119410,4930.01,0,pending
1169652,1735.52,1735.52,eligible
935811,1801.86,1417.04,warmup
899727,0.62,0.62,pending
1493253,355.5,13.75,warmup
850610,0,0,warmup
994352,0,0,eligible
1073548,685.01,685.01,warmup
1465417,0,0,eligible
765142,0,887.68,warmup
1281683,0,0,eligible
1449905,0,0,eligible
641051,0,0,eligible
1127088,0,0,eligible
656728,0,0,eligible
1144758,95.78,100,pending
1406543,719.8,719.8,eligible
1105744,0,0,warmup
1221602,0,0,pending
995325,466.8,0,pending
593136,4766.5,5095.56,warmup
877076,0,0,eligible
976927,0,0,eligible
997517,0,0,pending
1771295,0,0,eligible
1443012,0,0,eligible
1385231,4300.79,5465.53,warmup
1701265,133.71,1383.71,eligible
1297881,133.44,95.6,warmup
898712,0,1.88,pending
1596463,0,0,eligible
1124393,0,0,eligible
2207563,664.28,661.85,investing
1963187,86966.82,95488.79,investing
1327850,0,0,eligible
1413706,0,0,eligible
1465632,0,0,pending
1597878,109.35,108.27,investing
1667062,0,0,eligible
1102819,0,0,pending
1099346,0,0,eligible
1688197,2831,0,warmup
1217728,890,400,pending
1701958,0,0,warmup
960126,0,0,eligible
1562342,2180.05,2006,warmup
1480428,9543.73,42478.15,investing
1066191,0,0,eligible
1407873,8351.7,8351.7,warmup
1197539,0,0,eligible
1360324,630,630,eligible
2144730,0,0,eligible
1296447,17047.36,0,pending
1655217,0,0,warmup
1958829,0,0,warmup
945473,0,0,eligible
2362035,27678.35,3908.97,warmup
1296703,0,0,pending
1609717,0,0,eligible
2166279,0,0,eligible
1463537,574,0,warmup
1385814,492.8,492.8,eligible
1554449,1881.34,6146.69,pending
1735659,0,0,eligible
2036848,668.35,641.32,investing
1541105,0,0,eligible
1560659,0,0,eligible
1822133,0,0,eligible
1655849,0,0,warmup
1674115,0,0,warmup
1440673,390.49,390.49,investing
2658244,0,0,eligible
2101933,0,0,eligible
1679134,0,0,eligible
1718408,0,0,eligible
1981153,0,0,warmup
2050837,0,4305.31,warmup
1331930,0,0,eligible
1225586,7000.01,3863.12,investing
1488672,0,0,warmup
2179275,0,0,eligible
1715229,0,0,eligible
1897778,101.57,1.57,disable_pending
1896152,0,0,eligible
1700660,0,0,eligible
1803458,0,0,eligible
1260501,0,0,eligible
2138638,1011.24,1001.26,investing
1744801,1509.8,809.99,warmup
1573287,0,0,warmup
1703102,4745,1825,eligible
1909114,133.67,133.67,eligible
1950264,1939.86,24312.99,investing
1880971,3043.35,626.4,investing
2095628,0,0,warmup
1478369,7935.78,6517.25,warmup
2063917,145,145,eligible
2388048,81000,0,investing
2316795,1108.47,663.42,pending
2224517,2393.36,469.76,investing
1388289,0,0,eligible
2251875,0,50,eligible
2064733,51936.92,12458.94,investing
1780510,0,0,eligible
2323065,4883.95,2119.45,warmup
1745763,0,0,eligible
2054512,0,0,eligible
1968013,0,0,eligible
1715809,600,600,eligible
2021759,0,0,eligible
1992363,0,0,eligible
1896357,0,0,eligible
2056472,0,0,eligible
2407388,17.23,7216.84,investing
1931844,0,0,warmup
3260747,1000,0,eligible
2343198,0,0,eligible
2305843,0,0,eligible
1660525,0,0,eligible
2239258,0,0,eligible
2377471,0,0,eligible
2124915,0.02,2.83,investing
2013702,0,0,eligible
2321723,0,0,eligible
1919952,8265,0,eligible
1222249,34690.74,57709.64,warmup
1672675,93.27,89.61,investing
2899861,0,0,warmup
2437572,2108.11,2044.4,investing
2232921,0,0,pending
2223448,89.42,281.29,investing
2402842,0,0,investing
1762228,495,15900,warmup
2109921,1044,0.33,warmup
2248031,0,0,eligible
2331005,0,0,investing
2642942,8969.21,500,pending
2419542,3953.37,1457.77,eligible
2404575,505.64,841.64,warmup
1597596,0,570,eligible
2583202,5458.95,5244.81,investing
2744050,227.43,20,investing
2828472,0,0,pending
1899436,0,0,pending
2543983,0,0,eligible
2710627,45.02,45.02,warmup
2424900,0,0,eligible
2783333,3376.65,92.8,investing
1947988,1019.99,0,eligible
3077431,2493.5,2543.5,pending
2933019,0,0,warmup
2141645,0,0,eligible
1778919,0,0,eligible
1905288,0,0,eligible
2366762,0,0,warmup
2298123,0,0,eligible
1749841,1111.49,2188.92,investing
2297632,0,0,eligible
2048445,0,0,eligible
2829141,0,0,eligible
2535207,0,0,eligible
2946157,0,0,warmup
2733811,0,0,eligible
2716425,0,0,eligible
2347190,40,40,eligible
2524581,0,0,eligible
2603666,109.45,0,warmup
2083346,0,0,eligible
2513895,0,0,eligible
2091131,0,0,eligible
2048660,14247.36,14015.1,investing
1591925,0,0,eligible
1671344,800,0,eligible
2603075,0,0,warmup
2798679,0,0,eligible
2537284,908.35,930,warmup
2020256,328,0,warmup
2298993,0,0,pending
2610442,0,0,eligible
1729410,0,0,warmup
2386635,0,0,eligible
2840793,0,0,warmup
2610539,0,0,warmup
2475495,0,0,warmup
1888623,0,0,eligible
2389533,0,0,warmup
2551483,0,1256.24,warmup
2762644,0,0,eligible
2502854,0,0,pending
2461392,0,0,eligible
2109537,531.28,248.02,pending
1960506,0,0,eligible
2797416,0,0,eligible
1794061,0,0,eligible
2759392,0,0,eligible
1340599,0,0,eligible
2421944,1608.58,545.46,investing
2681482,20519.32,28706.48,investing
2630236,0,0,eligible
2452869,0,0,eligible
2425517,0,0,eligible
2765511,0,0,eligible
2819315,0,0,pending
2506606,1037.71,942.7,warmup
2880720,0,0,eligible
1790274,0,0,eligible
3551244,0,0,eligible
2931608,4650,1312.65,pending
3080581,7262.42,4566.74,investing
2133262,0,0,warmup
2734254,0,0,eligible
2635603,564.52,5814.52,warmup
2775374,0,0,eligible
2997214,0,0,warmup
3035753,634.41,980.24,investing
3020069,0,0,eligible
2177173,0,0,investing
2805330,0,0,eligible
2525112,74739.2,147800.46,investing
3100050,0,0,eligible
2894815,0.03,0.02,warmup
3192459,0,0,eligible
2188808,11500,0,investing
2677505,6913.84,3244.56,warmup
2207348,0,0,warmup
2261805,0,0,warmup
2308463,0,0,eligible
3202079,0,0,investing
2699775,4381.21,3038.07,investing
2724466,0,0,eligible
3940060,0,0.14,eligible
3943403,268.41,10200.01,eligible
2966546,0,0,eligible
2874525,912.01,0,warmup
2767809,0,0,eligible
2489723,10786.19,8115.74,investing
2552054,0,0,eligible
2760470,0,0,eligible
3452103,695,0.01,pending
2550098,120757.56,102284.48,investing
3252859,620,820,eligible
2800012,0,0,eligible
3258824,0,2000,eligible
3011712,2.11,2.09,investing
3653297,100,100,warmup
3175803,0,0,eligible
3755737,0,0,warmup
3631838,56.92,553.48,warmup
3191135,0,0,warmup
2246352,15.25,65.25,eligible
2476101,0,0,eligible
3462799,0,0,pending
2802053,0,0,eligible
3972011,0,0,eligible
3693200,0,0,eligible
2694109,0,0,eligible
3542385,0,0,eligible
4113096,0,0,eligible
2592745,0,0,eligible
3302320,100,0,eligible
3769961,2203.06,2403.06,pending
2740756,0,0,eligible
2457777,0,0,eligible
3840936,0,0,eligible
3606711,0,0,eligible
2093695,0,0,eligible
3464289,1980.36,1902.68,investing
3142925,11691.8,11776.9,investing
3364044,1,0,eligible
2668113,0,0,warmup
2416177,1500,1500,eligible
3283312,0,0,warmup
2349895,860,0,warmup
4070888,1200,0,eligible
2540666,1002.68,0,investing
2533275,0,0,warmup
3603779,0,0,eligible
3003873,6260.01,0,investing
3097386,1524.82,1208.88,investing
4007002,0,0,eligible
3163227,0,0,warmup
3248277,0,0,eligible
3628943,0,0,warmup
4304758,1405.66,2150,pending
4021376,0,0,warmup
4061287,0,0,eligible
2916666,0,0,non_eligible
3986043,0,0,eligible
3250364,0,0,eligible
3583203,350,350,eligible
3722199,1315.69,3300.01,investing
3420074,0,0,eligible
4399539,0,0,eligible
3672567,1214.29,100923.01,investing
3704410,0,0,eligible
4114528,0,0,eligible
2886949,0,0,warmup
3029435,9823.47,9438.13,investing
3296106,0,0,eligible
4721896,0,0,eligible
3066127,0,0,warmup
3231676,0,0,pending
3734618,0,0,warmup
3208689,0,0,warmup
2926591,0,0,eligible
4212479,0,0,investing
2632400,0,0,eligible
2768210,40411.51,30161.82,investing
3201327,0.11,0.14,eligible
3510435,2409.2,0.2,warmup
4655909,0,0,eligible
3537728,0,0,eligible
4159791,0,0,eligible
2512381,0,0,warmup
3748143,64492.7,32430.81,warmup
3614450,0,0,eligible
3529964,6297.65,3777.34,warmup
2955929,0,0,eligible
4807507,0,0,warmup
3185384,0,0,eligible
2866413,0,0,eligible
4127292,0.45,0.45,warmup
4386538,2500,0,investing
4145826,0,0,eligible
3597990,0,0,eligible
4328979,0,0,warmup
3740244,96,96,eligible
3226059,0,0,eligible
3592609,0,0,warmup
4997297,0,0,eligible
4080949,0,0,eligible
3554715,0,0,eligible
2965434,5.64,633.12,pending
3960149,0,1600,eligible
3402660,946.13,2.87,investing
2997689,0,0,non_eligible
5689339,0,0,pending
3415894,0,0,eligible
3320811,107.45,0,eligible
3275435,5548.63,3724.43,warmup
3201681,5409.71,5000.55,investing
3517850,3744.79,2225.83,warmup
3689532,59680.81,60880.09,warmup
3827007,0,0,eligible
3631163,0,0,eligible
3848313,0,0,eligible
4562049,0,0,warmup
3359956,0,0,warmup
4233983,0,0,warmup
3491178,0,0,warmup
3296658,25235.4,76374.26,investing
3764166,0,0,eligible
3646263,6896.16,1800.66,warmup
4179330,7739.33,14654.46,warmup
3645809,0,0,warmup
3635914,0,0,eligible
3604870,0,0,eligible
3566126,0,0,pending
3546918,0,0,pending
3236389,0,0,eligible
5258688,0,0,eligible
5440130,0,0,eligible
4667491,5067.9,3811.66,warmup
2891903,0,0,pending
2825740,0,0,eligible
5045779,22534.1,15426.52,investing
3105981,6841.33,5869.93,eligible
3953900,0,0,warmup
3862879,0,0,eligible
4407168,0,0,pending
3572895,0,0,eligible
4504103,0,0,eligible
3881141,0,0,pending
3737906,0,0,pending
4309859,0,0,eligible
4001741,2175,2175,warmup
3908265,0,0,eligible
3688697,0,0,eligible
4077968,33458.42,38717.36,warmup
3629792,0,0,eligible
4006357,0,0,eligible
3462624,10220,0,pending
4350279,0,0,warmup
3368427,0,0,eligible
5201255,0,0,warmup
4154735,0,0,pending
3722821,0,0,eligible
3496513,0,0,warmup
4499982,0,0,eligible
5024171,98806.33,88395.15,warmup
4162013,0,0,eligible
4764593,6057.51,0,investing
4089102,0,0,investing
3701700,0,0,eligible
4486201,0,0,eligible
3982676,8975.51,7768.83,investing
3538496,5149.96,1477.96,eligible
3821969,200.53,1000.15,investing
3477110,0,0,eligible
3766123,0,0,warmup
3639083,0,0,warmup
4219779,0,0,eligible
4414274,0,0,eligible
5814171,0,0,pending
3578507,0,0,eligible
4070054,461.79,3,pending
4356281,0,0,pending
3673803,1000,0,eligible
3895691,0,0,eligible
3969848,0,0,eligible
4118593,0,0,eligible
3831108,0,0,warmup
3658037,0,0,eligible
4502093,55415.39,55889.42,investing
4296454,0,0,pending
3792262,0,0,pending
5593161,0,0,warmup
3414698,100,0,eligible
4185767,0,0.01,investing
3534083,0,0,eligible
4942195,0,0,warmup
3608343,1010.37,0,investing
3871403,0,0,eligible
5076750,0,0,eligible
5629936,0,0,eligible
3148853,0,0,warmup
3030008,7329.99,8756.23,investing
4696722,5897.74,2143.63,pending
3964743,0,0,eligible
4891195,23924.82,12084.92,pending
4225251,0,0,eligible
4444303,8902.33,4068.67,investing
4362804,0,0,warmup
4321885,0,0,pending
5515033,0,0,non_eligible
5566824,0,0,eligible
3651610,0,0,warmup
5552420,3393.54,13384.83,investing
5215921,0,0,eligible
4407709,0,0,eligible
4701877,0,0,warmup
4071513,0,0,eligible
5064044,0,0,eligible
4905498,1312.2,1800,pending
4287323,3.31,0,pending
5636017,0,0,eligible
5825459,1.82,1.47,warmup
4159297,1137.73,6666.86,investing
4615203,0,0,eligible
5016297,86515,0,investing
4819469,0,0,eligible
4013352,0,0,eligible
4415153,0,0,warmup
4048137,0,0,pending
5196343,0,0,eligible
5662675,0,0,warmup
3575799,0,0,eligible
5732005,0,0,warmup
5423421,751.5,330.44,investing
4430107,0,0,eligible
4512232,0,0,eligible
4039471,0,0,warmup
6737776,0,0,eligible
5634956,29.01,89.17,warmup
5495988,0,0,pending
4408254,2000,0,eligible
4340828,0,0,pending
4920877,0,0,investing
4692261,2686.23,976.23,pending
4303106,0,0,eligible
4973887,0,0,eligible
4547086,0,0,pending
4797782,0,0,warmup
4707687,0,0,warmup
5954543,16848.97,16881.47,eligible
5700486,0,0,eligible
5169574,0,0,eligible
4600832,0,815.01,warmup
5840187,0.01,0,investing
4056322,800,0,eligible
4618481,0,0,eligible
6497114,0,0,non_eligible
5284476,341.96,328.54,investing
6444762,6083.38,2692.68,disabled
5822377,0,99.04,warmup
5005766,0,0,eligible
5745138,2694.5,1174.5,warmup
5976585,0,0,eligible
5154372,5963.16,2358.2,investing
4832099,0,0,eligible
4054385,0,0,eligible
4427154,0,0,eligible
5980846,57.47,57.47,warmup
5308863,0,200,pending
3875630,0,0,warmup
5237526,31387.32,30279.3,investing
6527667,0,0,eligible
4897730,0,0,eligible
5575319,0,0,warmup
4781393,0,0,eligible
5135413,0,0,pending
3515721,340,80,warmup
5719495,0,0,warmup
5342697,4619.17,4582.48,investing
5558663,0,0,eligible
4801099,2.82,2.7,investing
5450677,0,1475.81,investing
4377824,2699.7,961.02,warmup
5493909,0,0,eligible
5747558,8631.16,3917.95,warmup
5766023,2164.73,2222.56,investing
5207148,0,0,eligible
3985218,0,0,eligible
4809198,0,0,eligible
5861742,0,0,eligible
5309558,8369.01,20571.74,eligible
5354493,3482.85,11614.28,rejected
4870722,48267.98,1030.11,investing
3643415,0,0,eligible
6556041,1834.85,4396.85,pending
5503427,0,0,warmup
6458940,0,0,warmup
6652665,4201,69,investing
6564941,0,0,warmup
5072485,0,0,eligible
5196547,0.75,323.65,investing
4420084,1382,469.8,warmup
7001353,0,0,eligible
5562936,548.59,755.88,warmup
6657907,0,0,warmup
5506428,10,10,eligible
6563583,19312.57,19370.97,pending
6569366,1600,0,warmup
6555859,5012.92,5000,investing
3868690,0,0,eligible
4832786,0,0,eligible
5250060,2.9,1211.88,warmup
5515013,0,0,eligible
6495417,2000,0,warmup
6748772,21118.23,129106.27,investing
5284689,3133.51,2.74,warmup
4937772,0,0,warmup
5979240,406.11,0.01,warmup
7308671,2962.78,1719.52,warmup
5687446,0,0,warmup
6901731,0.08,0.08,warmup
5825603,0,0,eligible
6576791,16.57,1209.65,investing
5049428,204,3300,eligible
6702383,266,426,pending
5736324,0,0,eligible
5210913,0,0,warmup
5503123,0.05,15.01,investing
5687795,0,0,eligible
6773096,0,0,eligible
6864292,7025.41,12514.39,investing
4189128,0,0,warmup
6738559,0,0,pending
6533858,250,1434.63,warmup
6576443,0,0,eligible
5638678,31.5,0.5,eligible
6498602,0,0,eligible
5296833,0,0,eligible
6544679,0,0,warmup
6636310,19954.22,25028.9,eligible
3827219,8160.12,15803.28,investing
6546147,643.26,482.19,warmup
5962412,0,0,pending
5558714,2125,2375,warmup
4686951,0,0,warmup
5670221,2595,195,eligible
5459627,1000,0,warmup
5702359,0,0,eligible
6942536,0,0,eligible
6843790,0,0,investing
6632442,164367.05,10272.07,investing
5550702,0,0,pending
5257387,0,0,eligible
5097104,197.46,0,eligible
5985737,224505.33,223178.31,investing
7482140,9100,0,eligible
7757497,0,0,pending
5221419,2539.99,614.86,investing
5016013,2937.13,2241.76,eligible
6676602,0,0,eligible
5601034,29843.71,29306.79,disabled
5497445,0,0,eligible
7546302,0,0,warmup
5636137,0,97.97,warmup
5754626,1000,0,investing
5590097,0,0,investing
5742297,0,35.39,warmup
6507757,0,0,eligible
7228980,109275.3,99763.86,investing
6641580,0,0,eligible
6476983,0,0,eligible
6887579,5395.1,552.45,warmup
4935089,0,0,eligible
6515185,0,0,eligible
7694349,0,0,eligible
5871965,0,0,eligible
5701773,0,0,eligible
7594981,0,0,warmup
6691009,0,0,warmup
6626662,0,0,eligible
6504879,298.99,293.48,investing
5649692,0,0,eligible
5776257,0,0,warmup
5543219,0,0,pending
6569799,0,0,warmup
5867803,2971.68,50.34,investing
6535320,0,0,warmup
8723070,0,0,warmup
6857631,0,0,warmup
7244936,15.07,65.07,pending
4727580,0,200,warmup
6976674,7.42,7.2,investing
5648561,0,0,warmup
6615331,1551.28,2142.41,investing
5962676,0,0,eligible
5386762,0,0,warmup
7041822,0,0,eligible
8013415,0,0,warmup
7646173,2027.82,1184.49,investing
8016951,115,0.93,warmup
5537437,20001.09,1.09,investing
5560519,0,0,warmup
7687719,0,0,eligible
8306641,698.91,666.33,warmup
5908353,0,0,eligible
6521517,0,1324,pending
6723522,0,0,eligible
6837517,0,0,eligible
6690840,0,0,eligible
4636128,0,0,warmup
5486647,0,0,warmup
5875015,0,0,warmup
6785380,0,0,eligible
5492418,0,0,eligible
6718385,0,0,warmup
5146727,15825.75,26784.18,warmup
5917474,147.84,93.61,warmup
7710954,0,0,warmup
7476485,0,0,eligible
6602708,0,0,eligible
7873592,0,0,eligible
5914500,266.94,2152.75,investing
6445080,0,0,pending
5500498,0,0,eligible
6609464,0,0,eligible
6569290,2288.19,5112.17,investing
5608900,0,0,pending
7893045,0,0,warmup
9221515,0,0,eligible
6946324,0,0,eligible
7487199,0,0,eligible
6649592,0,0,eligible
5666054,46.2,46.2,pending
7757648,0.39,4813.07,investing
6508089,11,0,warmup
6549194,23425.13,20412.68,investing
6691030,0,0,eligible
7225234,7407.77,7451.55,disabled
7159249,296.51,0,warmup
6454792,0,0,warmup
5692114,0,0,eligible
6632274,0,0,eligible
6772300,0,0,eligible
5472950,0,0,eligible
6446979,10,210,eligible
7265025,0,0,warmup
7736208,0,0,pending
5882850,0,0,eligible
7798350,17.97,17.97,eligible
7504028,0,0,eligible
6642497,0,0,eligible
8154594,271,0,pending
6676946,410.47,99.28,eligible
7484208,0,0,eligible
5606817,3224.14,20816.1,investing
7572414,0,0,warmup
5698837,0,0,eligible
5936893,6479.38,4879.38,pending
6587023,2987.8,3133.3,eligible
9194797,0,0,eligible
6655780,19745.02,0,warmup
5785131,6800,3000,warmup
7919830,3236.23,3996.89,pending
7197938,0,0,pending
7183959,0,0,eligible
5987816,0,0,eligible
6679305,0,0,eligible
7204361,0,0,pending
7156945,20000,0,eligible
7434019,29.77,29.77,warmup
7279428,17.77,107.77,pending
4788969,1103.45,4210.3,warmup
5853048,0,0,eligible
6932596,0,0,eligible
7479343,0,0,warmup
7526798,0,1305,eligible
7528357,0,0,eligible
6552932,3605.32,0,investing
7655172,0,0,non_eligible
6731465,1914,0,eligible
8696929,0,0,warmup
6695297,2004.31,204.31,investing
7392924,0,0,eligible
6771783,0,0,investing
7589274,20.51,620.51,warmup
8033173,0,0,eligible
6641830,0,0,eligible
7445791,0,0,pending
7099256,0,0,warmup
6718972,0,0,warmup
7342656,0,0,pending
6449458,647.62,966.46,eligible
8412805,0,0,eligible
7348010,0,0,eligible
6625232,0,0,warmup
5831769,10559.72,5296.64,investing
7711894,0,0,warmup
7051602,0,0,warmup
6682459,0,0,non_eligible
8474377,0,0,eligible
6947455,2133.41,2020.12,investing
7115581,0,0,disable_pending
7612530,4319.06,728.7,pending
7652063,12521.02,8623.17,eligible
6866618,0.01,829.41,investing
8240608,0,0,eligible
7435638,0,0,eligible
8178516,600.9,909.99,warmup
7592425,15008.77,62388.66,investing
6743753,0,0,eligible
6664588,0,0,pending
7102836,0,0,pending
9032610,0,0,eligible
8367901,0,0,warmup
7311377,1316.53,500,pending
7640615,0,0,eligible
7476649,0,0,pending
7125234,0,0,eligible
7909270,1300,37,eligible
8169342,915.21,915.21,eligible
7590030,0,0,eligible
8808298,0,0,eligible
7000086,0,0,warmup
8155103,0,6034.02,pending
7966556,0,0,eligible
6841227,10712.77,5737.34,warmup
9010968,0,0,warmup
8190393,0,0,eligible
6917105,0,0,warmup
8055733,7380.37,6086.52,disabled
5829422,0,0,eligible
7140649,0,0,eligible
6925391,0,0,pending
9044274,0,0,eligible
7598460,0,0,eligible
7794059,0,0,pending
8055232,0,0,eligible
8045121,0,0,warmup
7874538,0,0,eligible
6956496,45,75,eligible
6874932,5146.2,2021.5,investing
5914730,162.5,167.5,pending
8523253,0,0,eligible
7485281,0,0,warmup
6870783,4177.91,4216.11,investing
10151191,0,0,eligible
7358851,31477.18,39774.87,disabled
8724960,0,0,warmup
7681081,6359.5,6359.5,eligible
7500547,0,0,eligible
8275703,24877.19,20987.38,warmup
8029684,1545.75,3267,investing
8225690,1282,0,pending
6833562,14.88,14.88,warmup
8743639,461.97,7958.18,warmup
6694867,0,,eligible
10590745,1651.12,2548.77,warmup
6708362,27.99,27.99,warmup
8861881,0,0,eligible
7440576,0,0,warmup
8640263,1091.43,1119.93,investing
6799456,6.92,2400,pending
5847990,0,0,warmup
6864334,0,0,eligible
8544534,6133.74,6818.76,investing
7925955,0,0,eligible
9511654,0,0,eligible
7104669,0,0,eligible
8630298,0,0,warmup
8698809,3764.25,4227.56,warmup
9754256,0,0,warmup
10069938,0,0,warmup
5295501,0,0,eligible
7857053,0,0,eligible
7777635,0,0,eligible
7090990,4785,7936.01,warmup
8715623,11,176,pending
9119816,7784.45,14042.5,investing
8672258,0,0,eligible
8000474,0,0,warmup
8215852,0,0,pending
8187736,1913.92,1132.82,investing
7858173,238.12,228.78,investing
8248960,7.7,7.7,warmup
8695725,17109.16,12059.64,investing
7684742,0,0,warmup
6786129,0,0,pending
9854082,19.75,19.75,eligible
10091943,799,0,warmup
7400419,0,0,eligible
8284191,0,0,eligible
9085458,0,0,eligible
6979332,0,0,pending
8266534,0,0,eligible
6922600,0,304,warmup
7018051,0,0,eligible
7370132,0,0,eligible
8671086,1500,1500,warmup
9123240,0,0,eligible
8717799,0,0,eligible
8954061,0,0,eligible
7133583,2263,0,pending
7475747,0.01,3007.31,investing
8298860,6262.26,0,investing
8343571,0,0,eligible
10175608,0,0,investing
7803354,26206.47,9102.01,warmup
7517883,120,120,disabled
9460013,0,179.99,eligible
9607782,0,0,eligible
8755463,0,0,eligible
11418348,0,0,eligible
9686833,0,0,warmup
9281535,318.14,308.53,investing
8221190,0,0,warmup
8049341,0,0,pending
7320071,0,0,warmup
8712594,0,0,pending
7748988,3.44,152.06,investing
8387751,10.17,10.17,pending
8354074,531.68,591.96,investing
8453056,58967.03,20180.43,investing
7867616,0,0,eligible
9726604,0,0,eligible
7854488,0,0,eligible
10637127,5361.01,0,warmup
7958468,660,260,pending
7071176,0,0,warmup
9265000,0,0,eligible
9470806,0,0,eligible
8835993,0,0,pending
7563738,0,0,eligible
7687941,0,0,eligible
8718874,0,0,warmup
10451183,3087.83,2507.16,eligible
7242456,1,0,pending
7208048,50.04,50.04,pending
9871155,0,0,pending
8803460,0,,eligible
8177919,0,500,warmup
8030210,0,0,eligible
10128190,0,0,eligible
8939638,0,0,eligible
9702943,0,0,eligible
8924983,0,0,eligible
9441061,6992.79,56975.84,investing
9530664,10321.99,9763.33,investing
9668812,0,200,eligible
8725456,1758.31,11922.75,investing
9374266,0,6151.28,warmup
10876605,2469.23,710.97,warmup
8999863,25,0,eligible
10025809,0,0,warmup
8627777,0,0,eligible
9576601,0,0,warmup
9649286,0,0,eligible
8261125,0.29,3992.01,investing
8902076,9183.91,8823.65,investing
8997724,15.5,15.5,eligible
9645311,10772.94,10303.58,investing
9049067,0,0,eligible
8842045,1815.25,3761.8,investing
9161515,3255.05,254.11,investing
9245579,1180.03,1180.03,warmup
9248494,0,0,eligible
9663297,250.99,3827.99,pending
8664917,251,3741,warmup
9459147,79861.19,13173.58,investing
7918330,8595.02,8595.02,warmup
7807152,0,0,warmup
8675191,0,0,eligible
8995270,1.88,1.83,investing
9764467,35897.04,27582.85,investing
9490443,0,0,warmup
8843211,0,0,eligible
7448261,780,780,warmup
8828696,6.06,816.05,pending
8896762,0,0,eligible
