cus_id,pa_3,pb_3,pa_2,pb_2,pa_1,pb_1,last_login_pa,last_login_pb
158533200,5,0,2,0,11,17,5/31/2019,5/31/2019
31873417,,,1,13,1,10,5/6/2019,5/23/2019
184095713,7,4,3,8,4,16,5/26/2019,5/31/2019
434533720,,,,,12,11,5/26/2019,5/28/2019
305375778,14,16,12,3,7,4,5/31/2019,5/31/2019
41228824,11,25,9,27,9,31,5/31/2019,5/31/2019
44088809,0,5,0,11,1,11,5/20/2019,5/29/2019
56836637,2,27,1,16,2,14,5/19/2019,5/20/2019
178496476,1,0,1,0,3,0,5/28/2019,5/28/2019
423095946,,,8,0,13,0,5/28/2019,5/28/2019
191663575,1,9,3,16,1,24,5/22/2019,5/31/2019
192400501,,,1,0,,,,
41546919,1,6,0,9,0,11,5/31/2019,5/31/2019
70497798,3,17,6,20,5,22,5/26/2019,5/31/2019
146831435,15,0,8,0,6,0,5/27/2019,5/27/2019
128853099,0,6,0,13,0,11,5/25/2019,5/25/2019
311507825,1,20,1,8,0,11,5/14/2019,5/14/2019
277137050,0,2,0,2,0,9,5/29/2019,5/29/2019
402615020,,,,,,,,
45897854,0,7,0,9,0,10,5/28/2019,5/28/2019
6679305,,,,,,,,
390217387,13,8,30,11,6,13,5/23/2019,5/29/2019
130772698,0,3,0,7,0,12,5/31/2019,5/31/2019
424077620,,,8,0,13,0,5/31/2019,5/31/2019
181858386,,,,,24,6,5/31/2019,5/31/2019
198882521,8,0,7,0,12,0,5/28/2019,5/28/2019
228360783,0,22,0,18,4,22,5/31/2019,5/31/2019
109411549,12,13,25,19,28,23,5/31/2019,5/31/2019
262958652,1,0,2,4,11,12,5/25/2019,5/25/2019
131488584,1,0,3,0,7,0,5/29/2019,5/29/2019
378741140,24,0,27,0,26,0,5/31/2019,5/31/2019
50772188,0,5,0,3,0,9,5/29/2019,5/29/2019
84362807,7,10,2,16,4,15,5/29/2019,5/31/2019
89946168,1,6,1,2,0,5,5/31/2019,5/31/2019
116192940,0,2,8,18,6,26,5/31/2019,5/31/2019
92552421,1,0,3,0,2,0,5/25/2019,5/25/2019
385209246,,,4,0,2,9,5/6/2019,5/30/2019
1463537,1,17,0,15,0,19,5/30/2019,5/30/2019
373452208,2,22,1,18,1,23,5/24/2019,5/31/2019
96853011,,,,,2,17,5/31/2019,5/31/2019
383167215,0,9,0,16,0,8,5/31/2019,5/31/2019
3537728,0,7,,,,,,
399058090,0,10,0,10,0,15,5/29/2019,5/29/2019
130249496,,,4,0,2,0,5/21/2019,5/21/2019
416327596,0,7,0,7,1,11,5/18/2019,5/31/2019
418775109,,,3,9,5,5,5/15/2019,5/28/2019
190701898,0,5,5,15,5,18,5/24/2019,5/31/2019
53666274,6,31,6,25,8,23,5/31/2019,5/31/2019
395750666,0,5,0,3,0,9,5/31/2019,5/31/2019
28772590,5,5,,,4,0,5/30/2019,5/30/2019
289307367,4,14,6,12,1,17,5/6/2019,5/30/2019
300747615,,,3,0,9,0,5/27/2019,5/27/2019
31275298,11,26,2,18,16,18,5/31/2019,5/31/2019
400946377,22,0,30,0,22,0,5/31/2019,5/31/2019
134742467,1,0,6,0,8,0,5/31/2019,5/31/2019
176917648,1,22,1,18,0,18,5/31/2019,5/31/2019
413564041,3,0,1,0,,,,
181868093,2,24,1,16,4,31,5/17/2019,5/31/2019
217750295,,,1,0,4,0,5/30/2019,5/30/2019
403298340,12,0,9,2,5,9,5/28/2019,5/27/2019
315386487,0,10,2,6,,,,
198959978,2,0,,,4,0,5/30/2019,5/30/2019
314162244,4,0,1,0,3,0,5/23/2019,5/23/2019
50734917,0,19,0,28,3,30,5/28/2019,5/31/2019
285675317,,,,,1,0,5/29/2019,5/29/2019
109208962,16,26,9,24,14,24,5/30/2019,5/31/2019
257386828,,,,,,,,
423409119,,,3,0,1,0,5/21/2019,5/21/2019
186424410,5,22,2,20,0,29,5/31/2019,5/31/2019
447523087,,,,,,,,
257061973,,,,,,,,
234834232,17,0,15,0,20,17,5/31/2019,5/24/2019
269412464,6,0,12,0,9,0,5/13/2019,5/13/2019
15792530,3,0,1,0,,,,
39073134,0,9,1,8,9,26,5/30/2019,5/31/2019
438753047,,,,,1,0,5/25/2019,5/25/2019
78811171,1,18,0,16,2,17,5/12/2019,5/31/2019
234903983,,,3,0,2,0,5/3/2019,5/3/2019
250748097,12,0,6,0,9,0,5/30/2019,5/30/2019
96228390,0,9,0,7,0,14,5/29/2019,5/29/2019
394126559,1,0,11,0,11,0,5/28/2019,5/28/2019
208589941,4,13,0,14,2,12,5/29/2019,5/31/2019
98835083,0,12,3,11,10,16,5/29/2019,5/30/2019
172976277,0,6,0,4,0,3,5/31/2019,5/31/2019
179600222,11,10,3,2,5,5,5/31/2019,5/26/2019
59177200,0,13,0,23,0,19,5/30/2019,5/30/2019
89455839,9,19,13,22,15,12,5/30/2019,5/14/2019
242546643,,,2,0,3,0,5/5/2019,5/5/2019
288680685,,,1,0,5,0,5/22/2019,5/22/2019
318057510,0,15,0,22,0,19,5/28/2019,5/28/2019
171682441,2,4,4,4,1,3,5/2/2019,5/13/2019
64865169,6,28,6,27,3,30,5/25/2019,5/31/2019
402632333,6,3,5,3,14,4,5/31/2019,5/24/2019
388619631,,,,,1,0,5/31/2019,5/31/2019
257126481,8,21,20,23,18,21,5/30/2019,5/31/2019
429857773,,,2,0,,,,
220202370,1,19,13,19,21,18,5/31/2019,5/28/2019
177771041,0,14,0,15,0,21,5/31/2019,5/31/2019
177378876,,,,,,,,
309303661,3,0,9,0,17,0,5/31/2019,5/31/2019
211082161,7,21,5,8,6,11,5/28/2019,5/30/2019
168172915,17,0,14,0,5,0,5/17/2019,5/17/2019
38691456,11,27,9,27,12,18,5/31/2019,5/31/2019
289652233,4,24,12,24,4,19,5/14/2019,5/31/2019
396871797,,,,,,,,
64075804,3,22,2,18,3,12,5/29/2019,5/31/2019
443492046,,,,,,,,
54861259,1,0,3,0,4,0,5/22/2019,5/22/2019
332741036,0,4,7,9,8,10,5/23/2019,5/28/2019
374212565,4,21,2,7,2,16,5/4/2019,5/30/2019
442690592,,,,,,,,
181252273,20,5,19,9,21,7,5/31/2019,5/27/2019
35684210,0,9,0,19,0,8,5/31/2019,5/31/2019
160604765,2,15,1,25,5,25,5/27/2019,5/28/2019
70165966,2,15,0,13,3,15,5/23/2019,5/30/2019
322623284,8,7,4,10,3,11,5/27/2019,5/25/2019
225798949,2,3,9,4,29,9,5/31/2019,5/19/2019
169930658,,,,,2,0,5/19/2019,5/19/2019
436631249,,,,,10,0,5/30/2019,5/30/2019
196072310,0,16,2,12,6,22,5/12/2019,5/31/2019
444613886,,,,,,,,
404388264,,,1,0,,,,
158091090,0,14,0,7,0,3,5/17/2019,5/17/2019
92584494,,,,,,,,
232867268,23,6,9,3,13,9,5/31/2019,5/26/2019
13143427,5,15,0,13,0,22,5/30/2019,5/30/2019
128425690,0,18,10,25,6,16,5/29/2019,5/31/2019
357595506,5,0,7,0,3,4,5/26/2019,5/30/2019
169073392,0,15,0,19,3,22,5/30/2019,5/31/2019
170626303,1,7,,,1,4,5/20/2019,5/24/2019
286687161,6,3,4,7,6,3,5/26/2019,5/29/2019
56110802,6,12,10,14,11,9,5/31/2019,5/31/2019
154824015,,,1,3,,,,
404365707,28,0,10,0,15,0,5/29/2019,5/29/2019
146199628,1,0,,,4,1,5/24/2019,5/10/2019
327502193,,,,,,,,
134509237,,,0,1,0,1,5/18/2019,5/18/2019
419871078,1,0,9,1,2,0,5/30/2019,5/30/2019
128467346,,,,,1,0,5/31/2019,5/31/2019
314438606,16,12,11,7,13,8,5/31/2019,5/31/2019
357185798,13,6,6,3,,,,
76949799,15,29,13,27,14,31,5/27/2019,5/31/2019
444580421,,,,,,,,
128303546,11,0,8,0,15,4,5/31/2019,5/31/2019
378171688,5,0,3,0,,,,
384664242,,,1,0,2,14,5/30/2019,5/31/2019
216311888,8,17,6,13,4,17,5/28/2019,5/30/2019
162994472,17,0,9,0,20,1,5/29/2019,5/4/2019
390445366,2,0,,,1,0,5/1/2019,5/1/2019
72470827,0,16,0,8,0,9,5/28/2019,5/28/2019
380032391,1,3,5,6,2,1,5/18/2019,5/7/2019
4499982,5,10,5,5,4,14,5/31/2019,5/31/2019
320657436,6,0,4,0,4,0,5/22/2019,5/22/2019
121860675,2,17,0,19,4,28,5/31/2019,5/30/2019
74834918,0,15,0,21,2,18,5/22/2019,5/30/2019
46539072,18,31,20,30,22,31,5/31/2019,5/31/2019
57685764,,,,,3,0,5/22/2019,5/22/2019
18005534,11,30,16,25,17,25,5/31/2019,5/31/2019
304378169,5,0,3,1,3,2,5/28/2019,5/2/2019
59499043,0,10,0,17,1,11,5/31/2019,5/31/2019
409044247,5,0,7,0,3,0,5/30/2019,5/30/2019
126265072,0,13,0,10,0,20,5/30/2019,5/30/2019
60675251,0,6,0,5,0,11,5/29/2019,5/29/2019
58673378,9,26,2,17,2,17,5/28/2019,5/31/2019
397957901,,,17,0,21,0,5/31/2019,5/31/2019
278047502,,,,,4,0,5/28/2019,5/28/2019
411932800,2,0,,,28,11,5/31/2019,5/29/2019
177397416,3,0,,,2,0,5/28/2019,5/28/2019
397299186,4,0,4,0,2,0,5/22/2019,5/22/2019
28763172,8,13,7,5,8,10,5/24/2019,5/27/2019
146550224,0,21,0,20,0,20,5/30/2019,5/30/2019
42420094,29,0,27,0,23,0,5/31/2019,5/31/2019
413099925,23,12,30,6,31,2,5/31/2019,5/28/2019
408030263,1,0,2,0,,,,
165134758,3,2,3,3,4,14,5/28/2019,5/31/2019
97357,0,2,0,3,0,3,5/25/2019,5/25/2019
201120544,1,0,2,0,2,0,5/21/2019,5/21/2019
24795359,0,5,0,9,,,,
276092010,3,0,1,0,1,2,5/1/2019,5/30/2019
245344693,,,,,,,,
57012328,22,28,18,22,14,27,5/31/2019,5/31/2019
128732602,,,,,,,,
95993369,,,,,,,,
416961280,9,0,12,0,1,0,5/11/2019,5/11/2019
24935978,0,8,3,7,0,5,5/23/2019,5/23/2019
113723007,,,5,3,5,2,5/24/2019,5/10/2019
94238305,3,14,3,8,4,15,5/24/2019,5/31/2019
11950786,3,23,4,17,8,12,5/31/2019,5/29/2019
321400230,9,30,17,30,26,30,5/31/2019,5/31/2019
213863699,0,22,0,10,0,17,5/23/2019,5/23/2019
101277280,0,11,2,10,8,12,5/24/2019,5/30/2019
336569536,0,3,0,4,,,,
59320857,2,0,3,0,3,0,5/31/2019,5/31/2019
162559876,9,9,,,,,,
146924768,10,15,8,15,4,16,5/18/2019,5/28/2019
401527215,,,2,0,,,,
170710762,3,10,6,12,4,5,5/30/2019,5/27/2019
237652686,1,0,,,2,0,5/29/2019,5/29/2019
175572200,13,0,25,0,23,0,5/30/2019,5/30/2019
316205254,14,5,18,4,15,11,5/23/2019,5/31/2019
262793783,4,10,9,19,15,11,5/31/2019,5/31/2019
386287344,19,0,26,1,28,0,5/29/2019,5/29/2019
59280843,4,14,7,14,9,22,5/27/2019,5/29/2019
440179758,,,,,,,,
183232967,,,1,0,3,0,5/23/2019,5/23/2019
79765589,24,14,21,16,24,10,5/31/2019,5/31/2019
293783451,,,,,,,,
81699593,1,26,5,27,3,24,5/21/2019,5/31/2019
193367218,1,5,2,6,0,5,5/30/2019,5/30/2019
407364499,5,0,2,4,2,4,5/7/2019,5/26/2019
199620655,2,6,0,1,,,,
151106114,,,,,,,,
2805330,1,23,2,27,3,27,5/31/2019,5/30/2019
445099863,,,,,,,,
323912514,21,2,10,3,8,10,5/27/2019,5/30/2019
153486351,19,29,8,20,2,23,5/27/2019,5/31/2019
173284443,4,16,1,2,3,16,5/16/2019,5/30/2019
66997724,1,17,0,5,11,15,5/31/2019,5/30/2019
83272896,13,9,12,5,16,4,5/27/2019,5/16/2019
69010511,3,18,2,12,8,16,5/27/2019,5/28/2019
135532370,,,2,0,4,0,5/31/2019,5/31/2019
47021630,0,4,1,4,0,11,5/29/2019,5/29/2019
242975352,,,,,,,,
219504152,2,9,1,7,1,12,5/2/2019,5/31/2019
344662851,4,0,1,0,7,0,5/31/2019,5/31/2019
225803943,10,24,8,27,8,22,5/31/2019,5/31/2019
306523692,2,0,11,0,6,0,5/28/2019,5/28/2019
178612457,10,15,16,24,11,22,5/31/2019,5/31/2019
241022583,0,1,0,7,0,8,5/26/2019,5/26/2019
105839767,0,9,5,9,2,6,5/15/2019,5/29/2019
429343785,,,4,1,15,3,5/26/2019,5/14/2019
430430185,,,6,0,5,0,5/10/2019,5/10/2019
142188841,,,,,,,,
358771511,15,0,2,0,,,,
407142657,4,0,5,0,1,0,5/7/2019,5/7/2019
165847743,,,4,0,3,0,5/31/2019,5/31/2019
96372356,1,14,2,11,6,23,5/28/2019,5/29/2019
6718972,2,25,2,29,2,27,5/27/2019,5/31/2019
41321762,4,14,2,14,2,8,5/30/2019,5/30/2019
206216451,,,,,0,5,5/31/2019,5/31/2019
29497814,8,30,13,30,12,31,5/31/2019,5/31/2019
327213152,0,4,0,1,0,3,5/28/2019,5/28/2019
441923036,,,,,,,,
16967327,0,18,0,21,0,22,5/31/2019,5/31/2019
140561184,,,2,0,1,0,5/13/2019,5/13/2019
274247702,,,3,6,5,11,5/24/2019,5/21/2019
420296807,3,0,7,0,6,0,5/18/2019,5/18/2019
187584880,3,0,6,0,5,0,5/19/2019,5/19/2019
320314952,0,3,0,3,0,6,5/20/2019,5/20/2019
78314286,0,4,0,4,0,2,5/27/2019,5/27/2019
24305444,21,23,9,22,11,19,5/25/2019,5/29/2019
27955824,3,12,4,11,9,18,5/31/2019,5/30/2019
368925267,4,0,6,0,4,0,5/25/2019,5/25/2019
193983221,25,20,29,19,24,26,5/31/2019,5/30/2019
3964743,1,5,2,3,3,8,5/21/2019,5/29/2019
304904456,6,8,2,0,9,5,5/31/2019,5/23/2019
228494314,29,0,27,0,27,0,5/31/2019,5/31/2019
441524038,,,,,,,,
430410410,,,3,0,8,0,5/27/2019,5/27/2019
223812722,4,2,2,1,3,4,5/27/2019,5/24/2019
40246973,0,31,2,30,2,30,5/14/2019,5/31/2019
274461314,,,,,,,,
131143238,1,14,0,10,0,13,5/29/2019,5/29/2019
399199851,,,,,,,,
157324026,2,20,4,20,5,26,5/26/2019,5/31/2019
158901253,3,0,2,0,3,1,5/31/2019,5/31/2019
243959657,2,13,3,18,7,17,5/30/2019,5/26/2019
426813853,,,3,2,0,5,5/28/2019,5/28/2019
423062928,,,3,0,,,,
170702506,3,0,3,0,3,0,5/22/2019,5/22/2019
57831260,8,10,7,6,9,13,5/28/2019,5/31/2019
254327781,8,19,4,2,4,12,5/27/2019,5/27/2019
96855925,,,2,0,8,1,5/31/2019,5/29/2019
212089418,0,22,1,12,0,12,5/30/2019,5/30/2019
147630323,1,10,0,12,1,6,5/8/2019,5/21/2019
61856236,3,22,3,17,2,23,5/20/2019,5/29/2019
191369959,,,,,,,,
129223180,0,9,0,17,0,7,5/24/2019,5/24/2019
202780359,0,3,0,2,12,6,5/28/2019,5/27/2019
73236171,10,20,12,18,15,18,5/26/2019,5/29/2019
66431507,0,10,3,16,3,21,5/22/2019,5/31/2019
141978136,0,15,0,4,4,17,5/9/2019,5/31/2019
91227771,4,0,4,2,7,0,5/27/2019,5/27/2019
238257539,0,10,2,12,0,25,5/30/2019,5/30/2019
97642198,0,2,4,3,3,4,5/31/2019,5/26/2019
396691288,2,2,0,1,4,1,5/30/2019,5/2/2019
253751208,0,2,0,1,0,1,5/1/2019,5/1/2019
443847393,,,,,,,,
27783408,12,15,14,15,10,9,5/29/2019,5/29/2019
206183577,,,,,3,0,5/23/2019,5/23/2019
441317448,,,,,,,,
355714623,,,,,,,,
428619203,,,2,0,7,0,5/26/2019,5/26/2019
198037902,,,,,15,0,5/31/2019,5/31/2019
233034703,1,0,0,1,,,,
178126979,11,0,,,,,,
44556173,0,30,0,17,0,25,5/31/2019,5/31/2019
262403376,8,21,5,14,6,25,5/31/2019,5/31/2019
234339979,,,,,,,,
9686833,3,3,1,5,2,4,5/28/2019,5/28/2019
185935086,2,8,17,25,13,15,5/31/2019,5/31/2019
25394095,2,20,0,19,0,21,5/31/2019,5/31/2019
80690959,2,0,5,0,10,2,5/31/2019,5/30/2019
435875231,,,,,8,0,5/31/2019,5/31/2019
251540245,7,0,8,0,7,0,5/29/2019,5/29/2019
387887909,0,6,1,6,1,6,5/7/2019,5/7/2019
323144039,24,0,29,5,25,0,5/31/2019,5/31/2019
198437097,0,6,0,14,2,26,5/26/2019,5/31/2019
217047693,4,0,4,4,1,1,5/18/2019,5/17/2019
169031756,2,26,6,24,3,25,5/18/2019,5/31/2019
195876417,21,0,28,0,15,0,5/30/2019,5/30/2019
244875859,0,18,0,8,0,17,5/30/2019,5/30/2019
413060803,0,6,8,19,2,7,5/31/2019,5/31/2019
308777860,0,5,0,21,0,13,5/31/2019,5/31/2019
128352913,,,1,0,9,11,5/28/2019,5/27/2019
320384487,2,24,2,27,12,29,5/27/2019,5/31/2019
219295140,,,2,2,1,0,5/8/2019,5/8/2019
245070951,16,0,19,0,18,0,5/31/2019,5/31/2019
282324124,,,,,0,6,5/28/2019,5/28/2019
50496588,3,16,6,21,7,21,5/28/2019,5/31/2019
201112793,,,,,0,3,5/31/2019,5/31/2019
243902185,3,0,2,0,5,0,5/30/2019,5/30/2019
292937336,5,20,5,17,5,20,5/28/2019,5/31/2019
372690946,,,,,,,,
239141851,,,0,1,,,,
325634921,,,,,11,0,5/21/2019,5/21/2019
282690996,2,27,1,16,5,12,5/16/2019,5/29/2019
102418816,,,,,,,,
404894724,4,0,2,0,1,0,5/2/2019,5/2/2019
251080828,2,7,2,3,0,3,5/30/2019,5/30/2019
