cus_id,spent_pb,last_date_pb,frequency_pb
184903448,297.31,5/14/2019,7
43378031,6.8,5/2/2019,1
166647598,468.92,5/24/2019,9
198797391,401.44,5/23/2019,3
44821211,8.05,3/30/2019,1
42064395,5.24,12/17/2018,1
241085209,787.1,5/18/2019,5
183067449,2.09,2/11/2019,1
248117750,80.44,2/16/2019,2
137465035,115.92,4/25/2019,11
191742602,57.47,4/8/2019,2
161549292,10.15,4/30/2019,1
52662349,16.02,12/6/2018,1
140628895,835.25,5/27/2019,9
39754459,544.05,5/16/2019,9
61538345,63.01,4/3/2019,1
92255555,78.21,5/20/2019,3
15040912,529.84,5/26/2019,17
93760450,21.56,5/2/2019,1
54736049,537.11,4/29/2019,8
95433592,136.39,5/13/2019,5
126064409,520.46,5/1/2019,7
97593316,236.48,5/1/2019,8
31706276,270.58,4/23/2019,2
183362978,361.05,5/10/2019,8
103005095,191.65,5/2/2019,5
396293147,628.29,5/24/2019,8
82231432,95.29,2/27/2019,3
176496489,94.71,4/16/2019,5
54385320,174.51,5/13/2019,3
147994390,317.31,1/26/2019,1
89294057,24.06,12/9/2018,1
69378579,2113.32,5/15/2019,18
259804960,30,5/18/2019,1
69563069,66.07,5/8/2019,1
75238612,6.01,4/16/2019,1
91054808,563.13,5/15/2019,12
174741988,328.43,6/1/2019,9
188213336,47.53,2/11/2019,1
186618209,101.61,4/23/2019,3
407582662,83.85,5/24/2019,3
90546574,895.56,5/12/2019,8
360957265,122.6,5/7/2019,4
135674032,253.15,5/30/2019,10
164258153,680.11,5/13/2019,2
11976566,418.39,5/27/2019,9
76981751,1123.46,4/3/2019,14
186508659,67.75,12/29/2018,1
51211448,41.7,4/15/2019,1
195377060,89.01,4/2/2019,3
194615948,50.54,1/14/2019,1
163445137,49.63,5/31/2019,3
158136182,5.56,5/22/2019,1
98553071,299.3,4/16/2019,2
157014305,1237.39,4/3/2019,9
73573584,2031.63,5/15/2019,19
32049030,243.03,5/21/2019,6
105641855,4.61,4/10/2019,1
134359455,401.04,5/26/2019,11
142767692,11.03,5/14/2019,1
76476121,585.65,5/22/2019,31
284286460,18.97,4/3/2019,1
204983042,145.57,5/16/2019,3
178997473,235.09,5/22/2019,7
148043508,232.93,5/5/2019,3
183777315,39.73,4/2/2019,3
82624251,166.61,2/2/2019,3
59744123,147.24,4/25/2019,5
137072433,1686.23,4/26/2019,21
249639474,25.35,2/26/2019,1
146194701,304.91,5/31/2019,5
34890424,35.84,4/8/2019,4
409897143,25.97,5/20/2019,3
398310960,66.56,2/26/2019,1
76477043,1406.26,5/2/2019,24
293100204,37.12,5/24/2019,4
333594487,1446.48,5/2/2019,5
203646706,13.21,2/17/2019,1
279623720,47.74,12/31/2018,1
141642409,415.19,5/7/2019,12
222307774,121.92,5/7/2019,4
98564246,42.67,4/3/2019,2
391660135,1.08,5/5/2019,1
16088536,984.49,5/4/2019,9
28947615,408.94,5/28/2019,8
42215698,82.6,5/16/2019,4
166293391,222.59,5/31/2019,1
305116510,4804.74,5/29/2019,19
207956680,90.84,5/14/2019,2
175275670,289.2,5/6/2019,14
13325210,212.24,5/19/2019,5
127980465,46.45,3/15/2019,2
200698535,13.96,5/15/2019,1
262976137,52.67,2/27/2019,2
127547714,158.86,5/10/2019,7
377717646,344.54,3/27/2019,10
179842259,250.61,4/16/2019,5
18859486,7528.73,5/20/2019,16
148693720,20.69,4/3/2019,2
128303546,255,3/7/2019,3
128751824,137.88,5/24/2019,6
106544517,898.14,5/30/2019,16
2177173,673.99,3/22/2019,12
595469,470.53,5/6/2019,11
265309412,292.47,5/26/2019,3
68510243,81.69,5/11/2019,3
71820813,259.08,5/29/2019,3
165635747,199.38,4/15/2019,3
140879712,8.78,2/3/2019,1
93211669,325.4,5/27/2019,6
60404208,144.8,4/25/2019,7
130558071,419.57,5/14/2019,7
51086775,223.55,4/23/2019,8
295404697,49.46,4/27/2019,3
285375957,15.99,1/17/2019,1
84094229,212.77,3/25/2019,5
272206105,15.09,4/11/2019,1
202814584,315.63,5/8/2019,10
55079755,48.21,4/8/2019,3
81146889,1734.24,5/24/2019,12
330465616,637.69,5/13/2019,6
127883440,128.8,2/28/2019,1
2610539,5.8,3/26/2019,1
415120526,16.54,5/8/2019,1
212506277,50.75,2/18/2019,1
156712266,367.01,5/8/2019,4
307247899,90.88,1/25/2019,1
146866811,64.06,3/28/2019,4
184253784,451.78,4/5/2019,4
86668453,7.54,3/5/2019,1
135956686,426.23,4/29/2019,5
84919486,370.31,5/13/2019,1
90378798,554.58,4/22/2019,4
191292383,85.63,1/11/2019,1
36405922,298.26,5/10/2019,10
166178874,2063.39,5/31/2019,21
412936661,22.5,3/16/2019,1
169304483,707.29,4/4/2019,7
8453056,783.27,5/29/2019,9
31924881,2.9,2/13/2019,1
45412323,347.12,5/13/2019,2
101798338,3.06,2/25/2019,1
146160995,403.61,5/26/2019,2
132326893,515.58,5/13/2019,5
201051090,240.68,5/30/2019,2
306072974,413.82,1/23/2019,6
85789413,64.08,12/19/2018,2
194652143,19.38,3/27/2019,2
63984129,62.47,5/17/2019,1
61964990,8.82,12/5/2018,1
104993065,29.18,12/30/2018,1
157116043,70.35,4/15/2019,2
244477234,11.88,3/11/2019,2
418779130,468.08,5/30/2019,6
156282052,1388.55,5/12/2019,2
185782916,332.91,5/25/2019,7
130908920,384.57,5/29/2019,6
130480123,41.11,3/31/2019,3
134846032,828.88,5/3/2019,13
127873428,1.31,12/16/2018,1
93530633,216.82,5/16/2019,5
86644235,27.39,2/27/2019,2
82001024,98.27,3/11/2019,1
200018830,52.15,5/27/2019,3
324728556,196.29,3/7/2019,1
245181229,41.69,3/7/2019,1
20692103,54.01,2/14/2019,4
26925589,294.47,5/13/2019,6
143277613,452.67,12/22/2018,2
220776303,154.31,5/13/2019,7
18998101,213.21,5/15/2019,4
245974510,108.75,5/24/2019,3
43958818,531.72,5/14/2019,10
119153611,112.53,3/14/2019,2
150639317,472.64,5/27/2019,11
114925015,193.58,5/27/2019,9
427413308,58.18,5/25/2019,3
188143272,72.79,4/5/2019,2
188097445,74.57,2/4/2019,2
146662297,45.82,3/29/2019,1
301465862,12.77,1/21/2019,1
35015386,25.15,4/25/2019,2
163385248,344.73,5/20/2019,6
308582462,55.8,5/3/2019,1
154791291,718.91,5/30/2019,9
28969772,281.98,5/29/2019,12
118941660,130.58,12/18/2018,2
114936973,500.58,5/14/2019,8
194123150,443.51,5/15/2019,6
93537522,1289.97,4/30/2019,6
285539477,148.83,5/16/2019,2
357298955,2.8,2/20/2019,1
30601022,3.88,5/24/2019,1
78895727,215.37,3/21/2019,1
68832498,402.8,5/8/2019,4
214581092,105.89,5/14/2019,2
84611745,944.72,5/16/2019,7
205119601,126.56,4/23/2019,2
223107046,129.67,1/16/2019,2
260352728,180.7,4/26/2019,3
76850809,149.91,2/1/2019,3
29889643,190.96,3/25/2019,4
400309773,11.25,5/30/2019,1
168485471,71.97,4/25/2019,5
98241141,79.85,1/24/2019,1
310565382,81.61,5/28/2019,3
262624106,135.24,3/14/2019,2
158914008,155.85,5/9/2019,3
26093111,97.99,2/27/2019,2
63533723,185.82,2/28/2019,4
162710588,79.41,1/13/2019,1
334011524,16.73,5/25/2019,1
157568016,983.03,5/14/2019,29
301857614,100.91,4/16/2019,1
323946517,28.61,4/6/2019,1
52141475,511.83,5/27/2019,14
53823308,72.15,5/13/2019,4
71443147,168.02,3/29/2019,4
20031783,172.35,5/31/2019,3
76407642,104.83,5/29/2019,5
119488174,851.71,5/16/2019,6
57938852,14.25,3/18/2019,1
60042165,45.07,12/7/2018,1
115496544,372.79,1/25/2019,2
417344232,40.35,5/8/2019,2
41228824,243.9,6/1/2019,14
97810523,932.95,5/15/2019,13
37011590,191.25,4/27/2019,5
7926806,575.65,5/21/2019,9
253717810,564.78,5/29/2019,10
279359510,1097.81,5/14/2019,10
44198864,371.5,5/22/2019,11
271821031,469.65,2/16/2019,4
18881595,7.02,5/23/2019,1
4377824,241.97,5/20/2019,4
116158027,184.96,3/14/2019,2
243558502,133.4,5/15/2019,1
1480428,1230.43,5/31/2019,13
47864237,568.68,5/1/2019,16
188174802,162.91,5/15/2019,11
156256345,415.12,3/25/2019,8
86395081,41.54,2/24/2019,2
29615632,105.67,2/23/2019,4
280195351,983.68,4/11/2019,11
129467061,29.1,1/23/2019,2
150438046,212.87,4/30/2019,6
208824099,33.59,5/9/2019,3
250323729,316.2,5/31/2019,11
133679039,10.46,5/16/2019,1
314104804,47.07,5/30/2019,5
7528357,42.27,5/31/2019,31
193203683,254.52,5/17/2019,1
161611694,88.46,1/26/2019,4
319190639,227.17,5/3/2019,1
133124863,60.44,5/24/2019,2
202938383,327.3,4/25/2019,2
308180626,86.54,3/1/2019,2
327940871,54.17,1/14/2019,1
181940418,4.25,3/16/2019,1
52290035,237.88,4/29/2019,2
321579301,316.33,4/7/2019,5
47989410,1817.3,5/30/2019,40
156308067,710.84,5/31/2019,8
131118551,13.56,3/6/2019,1
151053865,288.13,4/24/2019,5
184164950,55.84,2/13/2019,2
32603995,43.8,4/27/2019,2
215802055,96.75,2/6/2019,1
59227040,495.67,5/2/2019,7
166089992,618.49,1/24/2019,3
214632223,46.48,5/30/2019,2
148368487,21.79,3/21/2019,1
215303266,61.6,4/21/2019,2
242416246,980.87,5/31/2019,12
122674143,203.86,2/25/2019,3
86218143,442.63,5/25/2019,9
318025774,5.53,4/5/2019,3
80381660,16.39,4/3/2019,1
50943952,821.73,3/27/2019,6
54629373,254.51,5/28/2019,9
43197193,232.52,4/11/2019,4
13464421,583.38,5/8/2019,6
112524160,125.75,5/27/2019,4
241033848,130.12,4/4/2019,6
27890124,637.14,5/22/2019,5
17279584,81.02,5/2/2019,3
357157592,12.54,3/28/2019,1
60294428,236.03,5/20/2019,6
135755089,57.44,4/1/2019,1
190637963,963.23,5/24/2019,12
11935765,2649.53,5/17/2019,19
46798819,356.28,5/10/2019,4
167342461,83.98,4/17/2019,2
70604376,273.77,5/12/2019,6
200231233,624.13,5/29/2019,7
145517913,72.85,2/21/2019,1
317748376,133.31,3/29/2019,3
290662357,169.15,5/8/2019,3
56851796,3.81,2/23/2019,2
356530344,10.2,2/20/2019,2
91992652,411.82,5/29/2019,14
30945506,26.31,12/22/2018,1
204452084,10.1,2/15/2019,1
72565620,539.24,5/13/2019,16
158396329,118.39,5/31/2019,3
24985272,12.76,5/31/2019,2
71069670,758.12,5/27/2019,12
13136988,91.31,5/11/2019,5
233518852,48.31,2/9/2019,2
35928723,13.43,4/3/2019,3
34321360,370.16,5/30/2019,10
58088099,368.6,4/17/2019,5
23909222,223.6,5/27/2019,7
59249173,683.19,5/29/2019,7
126474014,73.39,5/20/2019,4
12630406,122.9,3/24/2019,4
374769456,401.88,5/27/2019,6
159146194,164.58,5/20/2019,4
276494331,5443.03,5/31/2019,36
56846353,261.82,4/8/2019,3
417724200,41.12,3/22/2019,4
251625292,27.26,5/8/2019,3
134665405,192.92,4/15/2019,8
50032647,302.2,5/28/2019,6
87356349,118.64,4/12/2019,4
168372050,1693.24,5/31/2019,8
42815736,542.48,6/1/2019,8
287297245,278.12,5/16/2019,5
202634005,179.91,5/7/2019,2
97535873,2.71,3/29/2019,1
60665018,604,5/6/2019,4
226921666,233.41,5/11/2019,1
40646596,565.54,5/24/2019,1
28264269,176.72,5/31/2019,5
76949799,337.19,5/31/2019,11
8266534,420.07,1/18/2019,6
66856160,80.77,5/9/2019,3
10152929,242.04,5/15/2019,4
70342788,847.49,6/1/2019,5
89432351,146.82,5/13/2019,8
222898295,9.76,1/25/2019,1
214282296,12.82,3/19/2019,2
286136882,330.95,4/16/2019,7
243165309,153.64,5/15/2019,3
148531176,379.23,5/23/2019,9
267545167,12.11,1/11/2019,1
3769961,748.71,5/16/2019,8
201515419,85.35,5/15/2019,1
19952298,371.88,4/20/2019,5
61964164,87.47,3/19/2019,3
182704556,20.72,5/30/2019,2
64217200,1114.89,4/26/2019,14
326404283,2.26,3/2/2019,1
12202320,565.57,4/21/2019,2
91518100,295.02,3/7/2019,5
91892927,6.38,1/24/2019,1
59340683,1907.89,5/22/2019,14
152102978,1666.05,5/13/2019,19
91880239,99.69,5/20/2019,4
388889027,16.75,5/30/2019,3
229588841,552.61,5/26/2019,5
78606141,89.59,2/24/2019,3
76647549,43.45,2/20/2019,2
35728706,177.15,5/8/2019,4
46681741,517.59,5/13/2019,2
75560565,28.58,5/7/2019,2
143153199,1.79,4/22/2019,1
155412203,634.36,3/18/2019,6
171279054,239.68,5/17/2019,2
314459204,0.03,1/8/2019,1
15417474,1044.29,5/21/2019,17
193133643,505.44,5/31/2019,10
63893571,86.23,12/19/2018,1
72705820,801.28,5/31/2019,8
231984916,1321.45,4/28/2019,14
153603708,179.99,3/20/2019,5
315141892,43.84,5/6/2019,2
196608372,22.96,3/31/2019,2
198371088,4.3,5/2/2019,1
336132925,1532.57,5/29/2019,7
305609578,1615.39,6/1/2019,16
148828742,1094.9,5/10/2019,14
130961848,136.03,2/5/2019,1
45548954,3.3,5/9/2019,2
205281656,247.26,5/15/2019,10
180958554,36.9,5/29/2019,1
221817350,175.16,4/23/2019,4
5064044,309.06,1/5/2019,1
121657084,61.67,3/11/2019,2
209592595,13.77,1/26/2019,1
95790419,354.11,5/31/2019,7
137938315,112.36,1/10/2019,2
10055404,43.55,4/23/2019,1
119232270,202.94,5/20/2019,3
75232795,576.94,5/30/2019,5
126831988,383.01,4/28/2019,10
14461673,106.32,5/23/2019,4
316963436,159.31,5/20/2019,10
130780817,181.72,3/16/2019,3
187524475,6.88,4/15/2019,1
117348,1970.31,5/22/2019,13
292320496,593.22,5/15/2019,16
118362421,1157.18,5/31/2019,13
150351057,5.85,1/20/2019,1
66500362,84.2,5/31/2019,7
277586504,22.11,12/18/2018,2
110633461,457.24,4/12/2019,7
140355932,110.51,4/7/2019,5
318220848,100.58,5/27/2019,2
240668942,24.27,3/9/2019,1
431351914,67.24,5/24/2019,2
155034652,146.25,5/14/2019,2
2668113,52.58,1/3/2019,1
231861069,2.14,4/7/2019,2
145129120,62.83,5/26/2019,2
59278075,16.37,12/20/2018,1
1703102,507.2,5/13/2019,4
43334741,215.41,5/16/2019,9
136274733,129.46,4/19/2019,3
147114481,165.64,5/28/2019,2
139626259,15.65,5/15/2019,2
2506606,269.16,5/20/2019,2
267006090,1004.52,5/26/2019,12
301726931,83.51,4/18/2019,1
61993590,147.35,5/14/2019,5
56322001,414.89,5/30/2019,17
128661905,1060.67,5/28/2019,15
120805077,283.46,4/17/2019,4
228107501,275.22,3/5/2019,6
86323504,130.8,5/1/2019,3
237907442,39.94,3/5/2019,1
28167859,17.62,1/14/2019,1
41742175,266.31,5/1/2019,5
280892077,136.35,4/11/2019,4
133495030,903.93,3/8/2019,13
74156630,33.41,2/13/2019,2
150204275,726.65,3/28/2019,7
59380995,46.26,12/1/2018,1
263409177,1.2,1/30/2019,1
169484482,499.36,5/15/2019,7
152221406,43.02,3/18/2019,1
136882981,46.67,6/1/2019,1
110806969,796.96,5/24/2019,11
57961533,52.46,4/20/2019,1
310965590,189.6,5/4/2019,3
36198454,448.4,2/12/2019,1
199831434,133.31,5/16/2019,1
303152317,14.8,2/11/2019,1
215743829,779.78,4/15/2019,6
70408481,52.67,5/27/2019,2
38148692,11.89,3/14/2019,1
24509851,712.48,3/15/2019,8
377995333,38.62,3/3/2019,2
238416267,44.29,5/21/2019,2
214196590,135.81,5/29/2019,4
78662480,22.21,5/30/2019,2
196333794,32.67,12/18/2018,1
76711627,80.59,1/16/2019,1
71907976,3.12,3/14/2019,1
170513023,184.24,5/1/2019,7
47477722,143.88,4/15/2019,4
77087617,37.67,5/7/2019,1
43283380,210.02,3/26/2019,6
152760296,645.22,5/31/2019,7
136905777,6.7,3/7/2019,2
96958123,72.59,3/6/2019,1
159869622,52.78,2/28/2019,1
182771479,285.4,5/13/2019,13
19342398,5.96,12/27/2018,1
130954945,582.89,5/27/2019,12
33791517,302.57,5/29/2019,9
59449642,416.93,5/5/2019,5
190590032,75.07,4/3/2019,3
66152213,678.09,4/18/2019,1
178712533,78.58,12/21/2018,1
131619877,959.34,5/11/2019,7
112180157,134.84,4/17/2019,2
66578973,487.51,5/26/2019,11
40377178,1062.9,5/24/2019,10
86810816,2.23,5/4/2019,1
214770819,302.24,5/31/2019,10
57496637,87.3,5/9/2019,4
19292550,528.42,5/19/2019,6
217195724,117.85,3/28/2019,2
208802918,324.85,5/15/2019,6
387324700,8.9,5/27/2019,1
390392548,188.86,5/18/2019,5
160371044,169.34,4/17/2019,3
84190650,35.32,12/22/2018,2
242646261,103.06,5/23/2019,6
86567100,446.37,5/27/2019,15
35911044,578.22,4/28/2019,8
141535685,23.39,4/2/2019,1
35645224,353.59,5/20/2019,5
2248031,484.2,5/15/2019,8
74974998,3742.03,5/30/2019,20
24594044,295.5,5/28/2019,1
210451828,697.28,5/19/2019,4
95651021,359.25,5/13/2019,11
352149571,243.92,5/20/2019,4
143524361,21.68,1/12/2019,1
28996907,473.93,5/27/2019,6
238218974,14.62,5/31/2019,1
11398677,460.33,5/21/2019,5
104848681,315.09,5/17/2019,6
163332922,90.69,3/22/2019,4
143556837,1218.67,6/1/2019,20
92835949,472.28,5/14/2019,1
135107366,71.41,5/4/2019,3
289204337,20.67,4/26/2019,1
347743941,129.24,5/15/2019,5
299028582,50.61,2/7/2019,1
31249702,48.87,5/20/2019,1
211742144,60.87,1/18/2019,2
270665785,254.83,5/12/2019,6
49199939,280.59,5/28/2019,8
2308463,131.4,5/27/2019,6
62804574,8.5,1/8/2019,2
86622348,462.3,5/6/2019,10
51510466,1078.68,5/17/2019,16
78803819,813.19,5/28/2019,19
22175793,50.54,1/12/2019,2
192060697,56.76,1/15/2019,1
137002639,275.01,5/19/2019,8
11837462,735.69,5/18/2019,10
110023446,81.89,2/9/2019,4
256628423,324.36,5/17/2019,7
33790902,47.82,4/11/2019,3
308780068,124.49,4/2/2019,5
35173276,2.13,12/3/2018,1
52575865,47.61,12/12/2018,1
174903765,304.14,4/3/2019,3
180211889,18.86,5/17/2019,2
149942246,126.85,5/20/2019,10
141632336,4.51,4/7/2019,1
73719738,533.6,5/16/2019,13
37859317,52.94,1/8/2019,1
97823644,351.81,5/14/2019,7
180182848,328.01,5/10/2019,8
30003056,23.76,12/22/2018,1
143963103,136.52,2/4/2019,3
31878185,168.49,4/11/2019,2
316846997,15.93,12/16/2018,2
126508057,77.96,3/29/2019,8
113936556,35.89,5/22/2019,4
9686833,204.75,3/7/2019,3
62439053,177.62,5/20/2019,13
135772466,440.71,5/31/2019,10
246413704,88.61,5/31/2019,1
266384641,331.52,5/29/2019,6
327888160,508.46,4/3/2019,7
21153219,744.52,4/3/2019,5
76536280,15.82,2/12/2019,1
21390209,923.33,5/10/2019,7
157362013,162.91,5/16/2019,10
165702699,257.27,6/1/2019,11
54828588,8.75,3/20/2019,1
258091560,541.85,4/3/2019,9
183729130,36.38,1/14/2019,6
188538374,91.03,4/8/2019,1
156825329,100.07,12/24/2018,1
223422513,31.86,12/11/2018,1
29718346,1951.25,5/27/2019,23
292201410,514.09,5/23/2019,17
3546918,187.65,1/9/2019,4
343583594,314.37,5/13/2019,9
166418786,3.01,5/22/2019,2
275074019,257.75,5/13/2019,10
86453457,213.66,5/25/2019,8
217369871,96.43,2/18/2019,2
162288402,553.39,5/16/2019,5
67627995,42.14,2/4/2019,1
72901274,383.54,5/21/2019,8
127925963,28.69,5/16/2019,2
376682082,31.3,2/1/2019,1
51546896,37.16,4/30/2019,2
127982700,497.26,5/3/2019,25
81631838,141.37,3/14/2019,4
345331013,4.28,4/22/2019,1
129929099,570.97,5/20/2019,4
61846193,205.06,3/18/2019,5
3097386,553.57,5/18/2019,8
153699792,60.38,2/19/2019,3
240380754,22.91,5/29/2019,3
299352259,40.63,4/6/2019,1
63311795,20.5,5/2/2019,2
74834918,808.24,5/29/2019,9
73725801,84.64,4/2/2019,3
95287513,1056.76,3/17/2019,5
62804459,3.96,2/12/2019,1
93241004,411.2,5/29/2019,14
28953871,7,4/25/2019,2
36726650,182.2,5/16/2019,1
70112174,121.98,4/9/2019,4
79437841,3013.63,5/29/2019,8
59392175,320.81,5/12/2019,6
48912505,414.58,5/3/2019,7
23841460,17.91,12/26/2018,1
153870883,25.4,5/13/2019,2
21574771,6.78,3/12/2019,1
239093777,130.75,2/25/2019,1
209136040,381.25,5/29/2019,6
10249724,63.09,4/14/2019,3
74494412,6.28,2/21/2019,1
207546289,6.96,4/10/2019,1
204548620,76.16,12/4/2018,1
